suburb,geographyCode,population,medianAge,medianHouseholdIncomeWeekly,householdsWithChildrenPct,ownerOccupiedPct,rentingPct,overseasBornPct,cantonesePct,mandarinPct,hongKongBornPct,chinaBornPct,filipinoPct,tagalogPct,thaiPct,spanishPct,portuguesePct,topBirthplacesCount,topLanguagesCount,topNonEnglishLanguagesCount,tenureDenominator,tenureComponentsSum,tenureRandomisationDifference,unpartnered2554Count,unpartnered2554Denominator,unpartnered2554Pct,loneParentFamiliesCount,loneParentFamiliesDenominator,loneParentFamiliesPct,status
Abbotsford,SAL20002,9088,33,2197,16.6,42.5,55.4,34.0,1.8,3.0,0.5,1.7,0.4,0.4,0.6,1.7,0.5,5,5,5,4398,4396,2,2567,5430,47.3,185,2127,8.7,PASS
Aberfeldie,SAL20003,3925,41,2571,54.1,77.2,20.4,18.5,0.8,1.7,0.3,1.1,0.1,0.1,0.1,0.5,0.1,5,5,5,1371,1366,5,391,1413,27.7,146,1074,13.6,PASS
Albert Park,SAL20018,6044,46,2533,35.8,60.8,36.9,26.2,0.2,0.4,0.1,0.4,0.0,0.0,0.1,0.7,0.4,5,5,5,2514,2515,-1,641,2173,29.5,201,1605,12.5,PASS
Albion,SAL20021,4334,35,1310,30.9,50.7,44.1,47.8,1.9,2.1,0.2,2.0,1.1,1.8,0.3,1.1,0.2,5,5,5,1774,1768,6,907,1984,45.7,197,1017,19.4,PASS
Armadale,SAL20066,9368,38,2193,25.6,52.5,44.7,28.7,1.2,3.7,0.7,3.1,0.1,0.2,0.4,0.9,0.3,5,5,5,4354,4354,0,1709,4192,40.8,310,2367,13.1,PASS
Ascot Vale,SAL20075,15197,37,2192,39.3,59.8,38.0,27.5,1.9,1.6,0.3,1.6,0.2,0.2,0.3,1.2,0.2,5,5,5,5959,5961,-2,2374,6713,35.4,540,3910,13.8,PASS
Ashburton,SAL20077,7952,41,2743,55.1,72.8,25.0,28.0,2.1,7.5,0.9,5.8,0.1,0.1,0.2,0.4,0.2,5,5,5,2714,2708,6,680,2849,23.9,265,2142,12.4,PASS
Balaclava,SAL20105,5392,35,2026,23.2,49.0,48.3,33.0,0.8,1.3,0.2,1.0,0.2,0.2,0.2,1.5,0.3,5,5,5,2423,2425,-2,1243,2765,45.0,141,1204,11.7,PASS
Balwyn,SAL20123,13495,43,1975,48.2,69.2,26.7,45.5,6.6,21.9,2.1,17.2,0.1,0.1,0.2,0.5,0.1,5,5,5,5085,5080,5,1501,4706,31.9,609,3766,16.2,PASS
Balwyn North,SAL20124,21302,42,2346,59.1,78.1,19.5,43.4,6.8,18.6,2.3,14.4,0.1,0.1,0.2,0.5,0.1,5,5,5,7090,7092,-2,2006,7210,27.8,830,5931,14.0,PASS
Bellfield,SAL20198,1996,36,1845,45.2,52.1,43.2,31.3,2.4,3.4,0.6,3.3,0.4,0.8,0.4,0.2,0.3,5,5,5,730,723,7,319,875,36.5,102,510,20.0,PASS
Bentleigh,SAL20214,17921,39,2263,48.1,69.3,28.5,36.3,1.2,7.4,0.5,5.8,0.2,0.2,0.4,0.9,0.3,5,5,5,6723,6720,3,2076,7287,28.5,737,4955,14.9,PASS
Black Rock,SAL20251,6389,49,2416,41.5,80.3,17.4,24.8,0.1,1.7,0.2,1.4,0.0,0.0,0.1,0.6,0.2,5,5,5,2486,2484,2,400,1913,20.9,195,1872,10.4,PASS
Blackburn,SAL20252,14478,41,2065,42.6,71.9,25.9,32.4,3.2,10.4,0.9,8.2,0.3,0.2,0.3,0.4,0.0,5,5,5,5561,5556,5,1662,5519,30.1,490,3911,12.5,PASS
Blackburn North,SAL20253,7627,39,2021,52.4,76.2,21.2,36.0,6.3,13.7,1.7,10.4,0.1,0.2,0.2,0.5,0.1,5,5,5,2701,2690,11,825,3030,27.2,273,2092,13.0,PASS
Blackburn South,SAL20254,10939,42,1861,47.5,72.7,23.9,36.9,4.7,14.1,1.2,10.6,0.2,0.3,0.2,0.6,0.2,5,5,5,4024,4026,-2,1122,3983,28.2,407,2933,13.9,PASS
Bonbeach,SAL20278,6855,42,1766,36.0,68.6,29.3,22.9,0.3,0.9,0.2,0.8,0.2,0.2,0.5,0.7,0.2,5,5,5,2844,2848,-4,823,2779,29.6,277,1823,15.2,PASS
Box Hill,SAL20314,14353,33,1267,27.2,37.4,57.9,61.0,8.5,33.9,2.5,29.5,0.5,0.4,0.3,0.3,0.1,5,5,5,5965,5964,1,3054,6525,46.8,558,3422,16.3,PASS
Box Hill North,SAL20315,12337,37,1820,47.2,63.5,33.4,47.2,6.9,22.4,1.8,17.9,0.4,0.5,0.4,0.4,0.0,5,5,5,4536,4532,4,1815,5150,35.2,548,3310,16.6,PASS
Box Hill South,SAL20316,8491,39,1928,47.0,67.8,27.3,40.2,4.8,16.5,1.5,13.3,0.1,0.3,0.2,0.3,0.2,5,5,5,3132,3139,-7,1111,3359,33.1,334,2225,15.0,PASS
Braybrook,SAL20324,9682,34,1451,44.0,48.4,47.5,55.1,6.0,2.6,0.5,2.7,0.8,1.2,0.2,1.4,0.2,5,5,5,3412,3417,-5,2108,4392,48.0,589,2380,24.7,PASS
Brighton,SAL20337,23252,48,2710,41.0,73.2,23.7,27.4,0.6,4.0,0.4,3.5,0.0,0.1,0.1,0.6,0.2,5,5,5,8981,8984,-3,2015,7260,27.8,776,6406,12.1,PASS
Brunswick,SAL20361,24896,34,2096,22.6,49.9,48.1,30.6,0.7,1.8,0.3,1.2,0.1,0.1,0.1,1.4,0.3,5,5,5,11040,11047,-7,6186,13392,46.2,653,5779,11.3,PASS
Brunswick East,SAL20362,13279,33,2088,19.9,44.6,53.4,30.2,0.9,1.6,0.3,1.0,0.1,0.2,0.2,1.8,0.5,5,5,5,6368,6359,9,3796,7880,48.2,371,3113,11.9,PASS
Brunswick West,SAL20363,14746,34,1797,27.4,50.1,47.7,30.0,0.8,1.9,0.3,1.3,0.3,0.3,0.2,1.8,0.4,5,5,5,6612,6601,11,3389,7490,45.2,460,3495,13.2,PASS
Bulleen,SAL20386,11219,45,1814,46.4,77.6,20.1,41.1,6.0,9.2,1.7,7.6,0.2,0.2,0.1,0.6,0.2,5,5,5,4248,4244,4,1346,3981,33.8,487,3287,14.8,PASS
Bundoora,SAL20399,28068,38,1668,44.5,68.8,27.6,37.8,2.1,9.7,0.5,7.6,0.4,0.3,0.3,0.6,0.2,5,5,5,10014,10021,-7,4196,10773,38.9,1148,7290,15.7,PASS
Burnley,SAL20418,794,32,2423,24.4,53.0,49.7,18.9,0.4,1.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5,5,5,336,345,-9,164,414,39.6,19,177,10.7,PASS
Burwood,SAL20426,15147,34,1684,38.3,57.3,37.2,46.4,4.3,16.5,1.5,13.4,0.3,0.4,0.3,0.6,0.1,5,5,5,5462,5458,4,2282,5673,40.2,572,3519,16.3,PASS
Camberwell,SAL20453,21965,43,2457,45.2,71.6,25.4,31.4,2.1,9.3,1.0,7.0,0.0,0.1,0.3,0.6,0.1,5,5,5,7908,7912,-4,2105,7460,28.2,682,5875,11.6,PASS
