id,displayName,components,observedLgas,censusPopulation2021,adjustedThreeYearPersonYears,growthMultiple,candidateSafetyScore,candidateRank,census2021SmoothedScore,census2021SmoothedRank,denominatorScoreDelta,denominatorRankDelta,adjustedRawScore,adjustedRawRank,smoothingScoreDelta,smoothingRankDelta,personCount,personRawRate,personSmoothedRate,personRiskPercentile,burglaryCount,burglaryRawRate,burglarySmoothedRate,burglaryRiskPercentile,vehicleCount,vehicleRawRate,vehicleSmoothedRate,vehicleRiskPercentile,damageCount,damageRawRate,damageSmoothedRate,damageRiskPercentile
inner-south-yarra-2br,South Yarra,South Yarra,Melbourne | Stonnington,25028,87715.6238,1.1682,1.8008,102,1.6017,102,0.1992,0,2.0339,99,-0.2331,3,1202,1370.3374,1352.2829,0.7797,748,852.7557,815.7216,0.9237,2386,2720.1539,2643.5394,0.7797,669,762.6919,749.282,0.7203
inner-richmond-2br,Richmond,Richmond,Yarra,28587,94719.1221,1.1045,1.4873,104,1.5805,103,-0.0932,1,1.7331,101,-0.2458,3,1458,1539.2879,1506.3072,0.8644,724,764.3652,738.2486,0.8814,2511,2650.9959,2586.1094,0.7458,863,911.1149,884.4283,0.8559
inner-collingwood-2br,Collingwood,Collingwood,Yarra,9179,30413.3635,1.1045,0.4576,117,0.4703,117,-0.0127,0,0.5254,116,-0.0678,1,860,2827.7043,2423.4352,0.9407,359,1180.4022,1009.7834,0.9831,1214,3991.6664,3491.7932,0.9322,556,1828.1437,1532.0813,0.9831
inner-windsor-prahran-2br,Windsor / Prahran,Windsor | Prahran,Port Phillip | Stonnington,19476,63283.5477,1.0831,0.589,114,0.5593,115,0.0297,-1,0.7712,112,-0.1822,2,1539,2431.9117,2262.9795,0.9153,776,1226.2271,1125.8836,1.0,2207,3487.4783,3280.615,0.9153,782,1235.7082,1153.2815,0.9237
inner-abbotsford-2br,Abbotsford,Abbotsford,Yarra,9088,30111.8474,1.1045,1.6907,103,1.7458,100,-0.0551,3,1.678,103,0.0127,0,469,1557.5265,1466.8776,0.8475,239,793.7075,718.2103,0.8644,769,2553.8121,2408.6426,0.6864,309,1026.1742,927.8196,0.8983
sunshine-station-2br,Sunshine,Sunshine,Brimbank,9445,28561.0923,1.008,0.822,110,0.9915,108,-0.1695,2,0.8008,111,0.0212,-1,1046,3662.3249,3022.1957,0.9831,188,658.2381,614.8359,0.7712,1429,5003.3101,4217.0773,0.9746,509,1782.1447,1483.7898,0.9746
footscray-station-2br,Footscray,Footscray,Maribyrnong,17131,56364.9697,1.0967,0.4237,119,0.3983,119,0.0254,0,0.5593,115,-0.1356,4,1571,2787.1921,2547.1144,0.9492,603,1069.8134,982.5778,0.9576,2650,4701.5017,4290.1414,0.9831,917,1626.897,1476.9321,0.9661
seddon-westfootscray-villa,Seddon / West Footscray,Seddon | West Footscray,Maribyrnong,16872,55512.7995,1.0967,6.7966,36,6.6144,36,0.1822,0,6.4958,39,0.3008,-3,359,646.6977,730.2263,0.2034,220,396.305,410.7402,0.3136,1342,2417.4605,2349.3898,0.6695,296,533.2104,548.2373,0.4831
yarraville-2br,Yarraville,Yarraville,Maribyrnong,15636,51446.0724,1.0967,7.5127,22,7.2754,28,0.2373,-6,7.0763,27,0.4364,-5,324,629.7857,721.5948,0.178,159,309.0615,338.6505,0.161,1103,2143.9926,2115.9222,0.6271,215,417.9133,452.6987,0.3475
established-western-value,St Albans,St Albans,Brimbank,38042,115036.6407,1.008,2.7881,91,3.6525,84,-0.8644,7,3.0975,89,-0.3093,2,1658,1441.2799,1421.4967,0.8305,629,546.7823,542.311,0.6441,2297,1996.7551,1994.7361,0.5085,875,760.6272,750.3125,0.7288
northwest-villa-corridor,Pascoe Vale / Glenroy,Pascoe Vale | Glenroy,Merri-bek,41963,136309.1446,1.0828,5.3644,57,5.3432,60,0.0212,-3,5.1229,61,0.2415,-4,1487,1090.9026,1097.9435,0.6356,542,397.6256,403.999,0.2881,1883,1381.4187,1421.7505,0.2373,729,534.8137,541.4327,0.4746
upfield-corridor,Brunswick / Coburg,Brunswick | Coburg,Merri-bek,51470,167190.8985,1.0828,3.8263,80,3.7627,81,0.0636,-1,3.8475,80,-0.0212,0,1834,1096.9497,1102.4221,0.6441,856,511.9896,510.7979,0.5424,3632,2172.3671,2161.0315,0.6356,1287,769.7787,761.9836,0.7458
